hospi,zmian,łóż,%zaj,respSC,zmian.1,respL,%zaj.1
681,0,1134,60.10%,50,0,71,70.40%
750,69,1203,62.30%,54,4,73,74.00%
757,7,1204,62.90%,56,2,81,69.10%
796,39,1248,63.80%,68,12,84,81.00%
819,23,1257,65.20%,67,-1,84,79.80%
813,-6,1311,62.00%,72,5,89,80.90%
848,35,1415,59.90%,70,-2,99,70.70%
883,35,1682,52.50%,81,11,114,71.10%
917,34,1677,54.70%,90,9,117,76.90%
976,59,1714,56.90%,95,5,129,73.60%
1163,187,1959,59.40%,96,1,131,73.30%
1029,-134,1860,55.30%,103,7,132,78.00%
1070,41,1938,55.20%,109,6,132,82.60%
1174,104,1955,60.10%,124,15,143,86.70%
1277,103,1986,64.30%,140,16,152,92.10%
1269,-8,1990,63.80%,131,-9,155,84.50%
1345,76,2021,66.60%,146,15,161,90.70%
1372,27,2100,65.30%,151,5,161,93.80%
1315,-57,2082,63.20%,156,5,163,95.70%
1284,-31,2064,62.20%,139,-17,152,91.40%
1293,9,2060,62.80%,152,13,155,98.10%
1306,13,2002,65.20%,149,-3,160,93.10%
1306,0,2101,62.20%,149,0,173,86.10%
1329,23,2168,61.30%,150,1,184,81.50%
1380,51,2232,61.80%,144,-6,184,78.30%
1334,-46,2195,60.80%,138,-6,186,74.20%
1340,6,2214,60.50%,137,-1,180,76.10%
1324,-16,2212,59.90%,135,-2,190,71.10%
1272,-52,2161,58.90%,137,2,189,72.50%
1342,70,2234,60.10%,147,10,187,78.60%
1342,0,2245,59.80%,139,-8,189,73.50%
1376,34,2252,61.10%,133,-6,183,72.70%
1300,-76,2242,58.00%,133,0,190,70.00%
1235,-65,2212,55.80%,131,-2,189,69.30%
1184,-51,2232,53.00%,141,10,192,73.40%
1179,-5,2301,51.20%,144,3,194,74.20%
1145,-34,2288,50.00%,137,-7,181,75.70%
1140,-5,2282,50.00%,138,1,190,72.60%
1134,-6,2272,49.90%,139,1,189,73.50%
1100,-34,2242,49.10%,142,3,200,71.00%
1091,-9,2234,48.80%,142,0,196,72.40%
1070,-21,2100,51.00%,137,-5,194,70.60%
1018,-52,2078,49.00%,132,-5,195,67.70%
976,-42,2048,47.70%,129,-3,186,69.40%
973,-3,2050,47.50%,119,-10,187,63.60%
958,-15,2047,46.80%,115,-4,184,62.50%
927,-31,2022,45.80%,114,-1,182,62.60%
880,-47,2006,43.90%,104,-10,176,59.10%
848,-32,1984,42.70%,92,-12,176,52.30%
841,-7,1986,42.30%,90,-2,171,52.60%
844,3,1996,42.30%,89,-1,171,52.00%
829,-15,1994,41.60%,93,4,170,54.70%
839,10,1995,42.10%,89,-4,173,51.40%
808,-31,1971,41.00%,85,-4,173,49.10%
831,23,1982,41.90%,89,4,173,51.40%
798,-33,1958,40.80%,92,3,173,53.20%
769,-29,1952,39.40%,88,-4,174,50.60%
760,-9,1948,39.00%,90,2,174,51.70%
770,10,1937,39.80%,90,0,172,52.30%
781,11,1943,40.20%,73,-17,171,42.70%
728,-53,1928,37.80%,83,10,171,48.50%
673,-55,1895,35.50%,83,0,171,48.50%
628,-45,1892,33.20%,81,-2,171,47.40%
636,8,1891,33.60%,83,2,171,48.50%
528,-108,1895,27.90%,77,-6,171,45.00%
674,146,1888,35.70%,75,-2,171,43.90%
679,5,1890,35.90%,79,4,171,46.20%
638,-41,1888,33.80%,69,-10,171,40.40%
643,5,1895,33.90%,80,11,171,46.80%
603,-40,1880,32.10%,83,3,171,48.50%
609,6,1794,33.90%,89,6,171,52.00%
640,31,1790,35.80%,85,-4,171,49.70%
672,32,1787,37.60%,90,5,171,52.60%
671,-1,1788,37.50%,85,-5,171,49.70%
663,-8,1796,36.90%,69,-16,171,40.40%
677,14,1770,38.20%,68,-1,171,39.80%
686,9,1774,38.70%,73,5,172,42.40%
658,-28,1776,37.00%,73,0,170,42.90%
615,-43,1769,34.80%,75,2,170,44.10%
636,21,1767,36.00%,79,4,171,46.20%
676,40,1711,39.50%,81,2,171,47.40%
661,-15,1699,38.90%,75,-6,171,43.90%
653,-8,1695,38.50%,72,-3,171,42.10%
656,3,1628,40.30%,75,3,174,43.10%
649,-7,1630,39.80%,71,-4,172,41.30%
660,11,1626,40.60%,63,-8,170,37.10%
660,0,1627,40.60%,66,3,170,38.80%
675,15,1632,41.40%,70,4,170,41.20%
685,10,1653,41.40%,75,5,170,44.10%
686,1,1639,41.90%,82,7,169,48.50%
678,-8,1625,41.70%,62,-20,169,36.70%
700,22,1636,42.80%,68,6,171,39.80%
678,-22,1621,41.80%,74,6,177,41.80%
691,13,1617,42.70%,73,-1,171,42.70%
723,32,1625,44.50%,76,3,170,44.70%
698,-25,1631,42.80%,78,2,170,45.90%
663,-35,1628,40.70%,75,-3,170,44.10%
662,-1,1599,41.40%,73,-2,172,42.40%
656,-6,1602,40.90%,72,-1,172,41.90%
675,19,1635,41.30%,75,3,172,43.60%
666,-9,1638,40.70%,70,-5,172,40.70%
667,1,1587,42.00%,70,0,163,42.90%
671,4,1588,42.30%,70,0,157,44.60%
675,4,1547,43.60%,72,2,149,48.30%
694,19,1541,45.00%,74,2,150,49.30%
677,-17,1482,45.70%,68,-6,149,45.60%
662,-15,1483,44.60%,76,8,149,51.00%
685,23,1491,45.90%,78,2,149,52.30%
719,34,1492,48.20%,82,4,150,54.70%
710,-9,1489,47.70%,73,-9,149,49.00%
743,33,1499,49.60%,77,4,149,51.70%
751,8,1487,50.50%,76,-1,149,51.00%
741,-10,1502,49.30%,77,1,150,51.30%
739,-2,1514,48.80%,71,-6,150,47.30%
691,-48,1508,45.80%,81,10,150,54.00%
768,77,1513,50.80%,80,-1,153,52.30%
790,22,1479,53.40%,84,4,153,54.90%
833,43,1483,56.20%,83,-1,153,54.20%
872,39,1574,55.40%,88,5,153,57.50%
888,16,1568,56.60%,87,-1,154,56.50%
906,18,1629,55.60%,87,0,155,56.10%
925,19,1629,56.80%,85,-2,154,55.20%
956,31,1543,62.00%,93,8,157,59.20%
990,34,1556,63.60%,83,-10,153,54.20%
1073,83,1581,67.90%,88,5,152,57.90%
1108,35,1627,68.10%,96,8,157,61.10%
1139,31,1667,68.30%,101,5,159,63.50%
1171,32,1720,68.10%,97,-4,159,61.00%
1198,27,1722,69.60%,110,13,160,68.80%
1245,47,1772,70.30%,116,6,165,70.30%
1272,27,1834,69.40%,112,-4,169,66.30%
1284,12,1836,69.90%,122,10,173,70.50%
1297,13,1842,70.40%,123,1,175,70.30%
1324,27,1865,71.00%,127,4,174,73.00%
1329,5,1866,71.20%,135,8,174,77.60%
1324,-5,1865,71.00%,140,5,176,79.50%
1374,50,1904,72.20%,138,-2,179,77.10%
1380,6,1923,71.80%,155,17,182,85.20%
1438,58,1973,72.90%,160,5,185,86.50%
1445,7,1939,74.50%,164,4,190,86.30%
1496,51,2017,74.20%,161,-3,205,78.50%
1532,36,2078,73.70%,156,-5,208,75.00%
1600,68,2100,76.20%,166,10,214,77.60%
1635,35,2120,77.10%,167,1,219,76.30%
1659,24,2139,77.60%,179,12,222,80.60%
1682,23,2134,78.80%,185,6,221,83.70%
1710,28,2159,79.20%,183,-2,221,82.80%
1724,14,2214,77.90%,202,19,244,82.80%
1716,-8,2216,77.40%,204,2,241,84.60%
1724,8,2222,77.60%,193,-11,239,80.80%
1815,91,2305,78.70%,202,9,238,84.90%
1790,-25,2377,75.30%,198,-4,248,79.80%
1844,54,2371,77.80%,211,13,256,82.40%
1872,28,2403,77.90%,224,13,264,84.80%
1876,4,2404,78.00%,215,-9,261,82.40%
1895,19,2431,78.00%,229,14,263,87.10%
1970,75,2442,80.70%,223,-6,258,86.40%
2009,39,2461,81.60%,204,-19,247,82.60%
2016,7,2499,80.70%,225,21,265,84.90%
2004,-12,2514,79.70%,217,-8,262,82.80%
1995,-9,2484,80.30%,225,8,249,90.40%
2016,21,2514,80.20%,223,-2,257,86.80%
1999,-17,2532,78.90%,225,2,267,84.30%
2040,41,2543,80.20%,225,0,264,85.20%
2074,34,2543,81.60%,229,4,263,87.10%
2122,48,2546,83.30%,221,-8,258,85.70%
2068,-54,2538,81.50%,222,1,258,86.00%
2054,-14,2546,80.70%,223,1,260,85.80%
1998,-56,2547,78.40%,221,-2,260,85.00%
1937,-61,2538,76.30%,233,12,268,86.90%
1937,0,2538,76.30%,231,-2,266,86.80%
1961,24,2530,77.50%,227,-4,264,86.00%
1912,-49,2536,75.40%,233,6,266,87.60%
1878,-34,2544,73.80%,226,-7,264,85.60%
1839,-39,2552,72.10%,224,-2,263,85.20%
1808,-31,2565,70.50%,230,6,268,85.80%
1718,-90,2564,67.00%,218,-12,261,83.50%
1718,0,2576,66.70%,215,-3,259,83.00%
1771,53,2578,68.70%,208,-7,259,80.30%
1641,-130,2564,64.00%,200,-8,254,78.70%
1532,-109,2564,59.80%,197,-3,253,77.90%
1464,-68,2444,59.90%,194,-3,246,78.90%
1431,-33,2406,59.50%,198,4,249,79.50%
1359,-72,2406,56.50%,177,-21,239,74.10%
1338,-21,2406,55.60%,164,-13,236,69.50%
1329,-9,2406,55.20%,167,3,242,69.00%
1245,-84,2224,56.00%,167,0,243,68.70%
1167,-78,2221,52.50%,163,-4,238,68.50%
1089,-78,2214,49.20%,151,-12,236,64.00%
1011,-78,2182,46.30%,146,-5,233,62.70%
950,-61,1986,47.80%,141,-5,223,63.20%
944,-6,1986,47.50%,138,-3,223,61.90%
950,6,1986,47.80%,128,-10,221,57.90%
924,-26,1969,46.90%,129,1,220,58.60%
854,-70,1949,43.80%,121,-8,223,54.30%
794,-60,1944,40.80%,114,-7,214,53.30%
768,-26,1818,42.20%,109,-5,205,53.20%
705,-63,1818,38.80%,101,-8,201,50.20%
698,-7,1818,38.40%,103,2,205,50.20%
677,-21,1752,38.60%,97,-6,197,49.20%
659,-18,1660,39.70%,97,0,182,53.30%
630,-29,1610,39.10%,87,-10,183,47.50%
589,-41,1597,36.90%,86,-1,175,49.10%
536,-53,1567,34.20%,82,-4,176,46.60%
490,-46,1483,33.00%,75,-7,160,46.90%
479,-11,1465,32.70%,70,-5,159,44.00%
460,-19,1194,38.50%,67,-3,123,54.50%
414,-46,1169,35.40%,60,-7,118,50.80%
387,-27,1139,34.00%,52,-8,117,44.40%
356,-31,1101,32.30%,46,-6,110,41.80%
331,-25,1101,30.10%,46,0,112,41.10%
317,-14,1075,29.50%,46,0,112,41.10%
320,3,1075,29.80%,38,-8,110,34.50%
301,-19,1037,29.00%,39,1,104,37.50%
271,-30,1034,26.20%,39,0,119,32.80%
252,-19,1035,24.30%,37,-2,119,31.10%
209,-43,990,21.10%,35,-2,112,31.30%
202,-7,875,23.10%,25,-10,101,24.80%
186,-16,875,21.30%,21,-4,100,21.00%
175,-11,875,20.00%,18,-3,99,18.20%
165,-10,817,20.20%,19,1,87,21.80%
137,-28,533,25.70%,16,-3,66,24.20%
137,0,533,25.70%,16,0,66,24.20%
102,-35,501,20.40%,11,-5,62,17.70%
101,-1,501,20.20%,9,-2,62,14.50%
92,-9,501,18.40%,9,0,62,14.50%
92,0,501,18.40%,9,0,62,14.50%
93,1,480,19.40%,7,-2,59,11.90%
88,-5,480,18.30%,6,-1,59,10.20%
84,-4,460,18.30%,7,1,58,12.10%
80,-4,455,17.60%,8,1,58,13.80%
72,-8,454,15.90%,8,0,58,13.80%
62,-10,453,13.70%,7,-1,58,12.10%
63,1,453,13.90%,11,4,59,18.60%
66,3,453,14.60%,7,-4,58,12.10%
60,-6,425,14.10%,8,1,58,13.80%
55,-5,425,12.90%,5,-3,58,8.60%
50,-5,425,11.80%,5,0,58,8.60%
48,-2,426,11.30%,5,0,58,8.60%
41,-7,411,10.00%,7,2,58,12.10%
42,1,410,10.20%,7,0,58,12.10%
37,-5,410,9.00%,7,0,58,12.10%
43,6,410,10.50%,7,0,58,12.10%
39,-4,410,9.50%,6,-1,58,10.30%
35,-4,410,8.50%,6,0,58,10.30%
32,-3,410,7.80%,6,0,58,10.30%
31,-1,410,7.60%,5,-1,59,8.50%
26,-5,410,6.30%,4,-1,59,6.80%
25,-1,385,6.50%,3,-1,57,5.30%
20,-5,385,5.20%,2,-1,57,3.50%
15,-5,385,3.90%,2,0,57,3.50%
13,-2,374,3.50%,0,-2,55,0.00%
13,0,373,3.50%,0,0,55,0.00%
13,0,373,3.50%,0,0,55,0.00%
15,2,373,4.00%,1,1,55,1.80%
14,-1,373,3.80%,0,-1,55,0.00%
